sample,fastq_1,fastq_2,strandedness
ERX12477974+A549_IAV-dNS1_16hpi_cytosol_1,fastq/ERX12477974_ERR13106334_1.fastq.gz,fastq/ERX12477974_ERR13106334_2.fastq.gz,reverse
ERX12477975+A549_IAV-dNS1_16hpi_cytosol_2,fastq/ERX12477975_ERR13106335_1.fastq.gz,fastq/ERX12477975_ERR13106335_2.fastq.gz,reverse
ERX12477976+A549_IAV-dNS1_16hpi_cytosol_3,fastq/ERX12477976_ERR13106336_1.fastq.gz,fastq/ERX12477976_ERR13106336_2.fastq.gz,forward
ERX12477977+A549_IAV-dNS1_16hpi_nucleus_1,fastq/ERX12477977_ERR13106337_1.fastq.gz,fastq/ERX12477977_ERR13106337_2.fastq.gz,reverse
ERX12477978+A549_IAV-dNS1_16hpi_nucleus_2,fastq/ERX12477978_ERR13106338_1.fastq.gz,fastq/ERX12477978_ERR13106338_2.fastq.gz,reverse
ERX12477979+A549_IAV-dNS1_16hpi_nucleus_3,fastq/ERX12477979_ERR13106339_1.fastq.gz,fastq/ERX12477979_ERR13106339_2.fastq.gz,reverse
ERX12477980+A549_IAV-WT_16hpi_cytosol_1,fastq/ERX12477980_ERR13106340_1.fastq.gz,fastq/ERX12477980_ERR13106340_2.fastq.gz,reverse
ERX12477981+A549_IAV-WT_16hpi_cytosol_2,fastq/ERX12477981_ERR13106341_1.fastq.gz,fastq/ERX12477981_ERR13106341_2.fastq.gz,forward
ERX12477982+A549_IAV-WT_16hpi_cytosol_3,fastq/ERX12477982_ERR13106342_1.fastq.gz,fastq/ERX12477982_ERR13106342_2.fastq.gz,forward
ERX12477983+A549_IAV-WT_16hpi_nucleus_1,fastq/ERX12477983_ERR13106343_1.fastq.gz,fastq/ERX12477983_ERR13106343_2.fastq.gz,forward
ERX12477984+A549_IAV-WT_16hpi_nucleus_2,fastq/ERX12477984_ERR13106344_1.fastq.gz,fastq/ERX12477984_ERR13106344_2.fastq.gz,reverse
ERX12477985+A549_IAV-WT_16hpi_nucleus_3,fastq/ERX12477985_ERR13106345_1.fastq.gz,fastq/ERX12477985_ERR13106345_2.fastq.gz,forward
ERX12477986+A549_mock_16hpi_cytosol_1,fastq/ERX12477986_ERR13106346_1.fastq.gz,fastq/ERX12477986_ERR13106346_2.fastq.gz,reverse
ERX12477987+A549_mock_16hpi_cytosol_2,fastq/ERX12477987_ERR13106347_1.fastq.gz,fastq/ERX12477987_ERR13106347_2.fastq.gz,forward
ERX12477988+A549_mock_16hpi_cytosol_3,fastq/ERX12477988_ERR13106348_1.fastq.gz,fastq/ERX12477988_ERR13106348_2.fastq.gz,reverse
ERX12477989+A549_mock_16hpi_nucleus_1,fastq/ERX12477989_ERR13106349_1.fastq.gz,fastq/ERX12477989_ERR13106349_2.fastq.gz,forward
ERX12477990+A549_mock_16hpi_nucleus_2,fastq/ERX12477990_ERR13106350_1.fastq.gz,fastq/ERX12477990_ERR13106350_2.fastq.gz,forward
ERX12477991+A549_mock_16hpi_nucleus_3,fastq/ERX12477991_ERR13106351_1.fastq.gz,fastq/ERX12477991_ERR13106351_2.fastq.gz,reverse
ERX12477992+A549_IAV-dNS1_8hpi_cytosol_1,fastq/ERX12477992_ERR13106352_1.fastq.gz,fastq/ERX12477992_ERR13106352_2.fastq.gz,reverse
ERX12477993+A549_IAV-dNS1_8hpi_cytosol_2,fastq/ERX12477993_ERR13106353_1.fastq.gz,fastq/ERX12477993_ERR13106353_2.fastq.gz,reverse
ERX12477994+A549_IAV-dNS1_8hpi_cytosol_3,fastq/ERX12477994_ERR13106354_1.fastq.gz,fastq/ERX12477994_ERR13106354_2.fastq.gz,forward
ERX12477995+A549_IAV-dNS1_8hpi_nucleus_1,fastq/ERX12477995_ERR13106355_1.fastq.gz,fastq/ERX12477995_ERR13106355_2.fastq.gz,reverse
ERX12477996+A549_IAV-dNS1_8hpi_nucleus_2,fastq/ERX12477996_ERR13106356_1.fastq.gz,fastq/ERX12477996_ERR13106356_2.fastq.gz,reverse
ERX12477997+A549_IAV-dNS1_8hpi_nucleus_3,fastq/ERX12477997_ERR13106357_1.fastq.gz,fastq/ERX12477997_ERR13106357_2.fastq.gz,reverse
