"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"SRX30572615","results/fastq/SRX30572615_SRR35496363_1.fastq.gz","results/fastq/SRX30572615_SRR35496363_2.fastq.gz","SRR35496363","SRX30572615","SAMN51585584","SRS26602056","PRJNA1330757","SRP621882","SRA2225931","GSM9246654_r1","GSM9246654_r1","GSM9246654","GSE308488","PAIRED","other","TRANSCRIPTOMIC","RIP-Seq","GSM9246654","Illumina NovaSeq 6000","ILLUMINA","11294922008","37400404","10090","Mus musculus","MEF, mock, IgG-input, 1 [B261790]","Illumina NovaSeq 6000 sequencing: GSM9246654: MEF, mock, IgG-input, 1 [B261790] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, IgG-input, 1 [B261790]","8d4df847f52950873e96d7f835f113fa;a992d3bb687f65f03084a820b4acb445","2556833680;2646408673","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/063/SRR35496363/SRR35496363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/063/SRR35496363/SRR35496363_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/063/SRR35496363/SRR35496363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/063/SRR35496363/SRR35496363_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/063/SRR35496363/SRR35496363_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/063/SRR35496363/SRR35496363_2.fastq.gz"
"SRX30572615","results/fastq/SRX30572615_SRR35496364_1.fastq.gz","results/fastq/SRX30572615_SRR35496364_2.fastq.gz","SRR35496364","SRX30572615","SAMN51585584","SRS26602056","PRJNA1330757","SRP621882","SRA2225931","GSM9246654_r2","GSM9246654_r1","GSM9246654","GSE308488","PAIRED","other","TRANSCRIPTOMIC","RIP-Seq","GSM9246654","Illumina NovaSeq 6000","ILLUMINA","10406524078","34458689","10090","Mus musculus","MEF, mock, IgG-input, 1 [B261790]","Illumina NovaSeq 6000 sequencing: GSM9246654: MEF, mock, IgG-input, 1 [B261790] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, IgG-input, 1 [B261790]","4e8db8c5fc51a6951bb8ccdec5b6be23;54bfb56fd7717f2b97247f419935db10","2362280807;2434595653","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/064/SRR35496364/SRR35496364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/064/SRR35496364/SRR35496364_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/064/SRR35496364/SRR35496364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/064/SRR35496364/SRR35496364_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/064/SRR35496364/SRR35496364_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/064/SRR35496364/SRR35496364_2.fastq.gz"
"SRX30572616","results/fastq/SRX30572616_SRR35496361_1.fastq.gz","results/fastq/SRX30572616_SRR35496361_2.fastq.gz","SRR35496361","SRX30572616","SAMN51585583","SRS26602057","PRJNA1330757","SRP621882","SRA2225931","GSM9246655_r1","GSM9246655_r1","GSM9246655","GSE308488","PAIRED","other","TRANSCRIPTOMIC","RIP-Seq","GSM9246655","Illumina NovaSeq 6000","ILLUMINA","9583867320","31734660","10090","Mus musculus","MEF, mock, Z22-input, 1 [B261790]","Illumina NovaSeq 6000 sequencing: GSM9246655: MEF, mock, Z22-input, 1 [B261790] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, Z22-input, 1 [B261790]","66332c5857210ae0b5a0a013b80bdec1;6edfafeca982ed6cb6697ff37113ea32","2157190631;2215990141","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/061/SRR35496361/SRR35496361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/061/SRR35496361/SRR35496361_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/061/SRR35496361/SRR35496361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/061/SRR35496361/SRR35496361_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/061/SRR35496361/SRR35496361_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/061/SRR35496361/SRR35496361_2.fastq.gz"
"SRX30572616","results/fastq/SRX30572616_SRR35496362_1.fastq.gz","results/fastq/SRX30572616_SRR35496362_2.fastq.gz","SRR35496362","SRX30572616","SAMN51585583","SRS26602057","PRJNA1330757","SRP621882","SRA2225931","GSM9246655_r2","GSM9246655_r1","GSM9246655","GSE308488","PAIRED","other","TRANSCRIPTOMIC","RIP-Seq","GSM9246655","Illumina NovaSeq 6000","ILLUMINA","8825509080","29223540","10090","Mus musculus","MEF, mock, Z22-input, 1 [B261790]","Illumina NovaSeq 6000 sequencing: GSM9246655: MEF, mock, Z22-input, 1 [B261790] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, Z22-input, 1 [B261790]","b71af99741cdd68af2d3b0118b24ffb2;7c133fa493a622a26986503b30635724","1992504305;2037934193","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/062/SRR35496362/SRR35496362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/062/SRR35496362/SRR35496362_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/062/SRR35496362/SRR35496362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/062/SRR35496362/SRR35496362_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/062/SRR35496362/SRR35496362_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/062/SRR35496362/SRR35496362_2.fastq.gz"
"SRX30572617","results/fastq/SRX30572617_SRR35496359_1.fastq.gz","results/fastq/SRX30572617_SRR35496359_2.fastq.gz","SRR35496359","SRX30572617","SAMN51585582","SRS26602060","PRJNA1330757","SRP621882","SRA2225931","GSM9246656_r1","GSM9246656_r1","GSM9246656","GSE308488","PAIRED","other","TRANSCRIPTOMIC","RIP-Seq","GSM9246656","Illumina NovaSeq 6000","ILLUMINA","9144068646","30278373","10090","Mus musculus","MEF, mock, RIP-input, 1 [B261790]","Illumina NovaSeq 6000 sequencing: GSM9246656: MEF, mock, RIP-input, 1 [B261790] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, RIP-input, 1 [B261790]","446455d524a465e70a1ebd0e6ec44f68;ad1a324e17f44af43ea598ed10da2dbc","2078803833;2136313642","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/059/SRR35496359/SRR35496359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/059/SRR35496359/SRR35496359_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/059/SRR35496359/SRR35496359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/059/SRR35496359/SRR35496359_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/059/SRR35496359/SRR35496359_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/059/SRR35496359/SRR35496359_2.fastq.gz"
"SRX30572617","results/fastq/SRX30572617_SRR35496360_1.fastq.gz","results/fastq/SRX30572617_SRR35496360_2.fastq.gz","SRR35496360","SRX30572617","SAMN51585582","SRS26602060","PRJNA1330757","SRP621882","SRA2225931","GSM9246656_r2","GSM9246656_r1","GSM9246656","GSE308488","PAIRED","other","TRANSCRIPTOMIC","RIP-Seq","GSM9246656","Illumina NovaSeq 6000","ILLUMINA","8395681540","27800270","10090","Mus musculus","MEF, mock, RIP-input, 1 [B261790]","Illumina NovaSeq 6000 sequencing: GSM9246656: MEF, mock, RIP-input, 1 [B261790] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, mock, RIP-input, 1 [B261790]","78e736617423054c77e6b7e4d40e2e44;39db7cd030eca4e4615ad16f115918bc","1914495042;1958423222","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/060/SRR35496360/SRR35496360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/060/SRR35496360/SRR35496360_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/060/SRR35496360/SRR35496360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/060/SRR35496360/SRR35496360_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/060/SRR35496360/SRR35496360_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/060/SRR35496360/SRR35496360_2.fastq.gz"
"SRX30572618","results/fastq/SRX30572618_SRR35496357_1.fastq.gz","results/fastq/SRX30572618_SRR35496357_2.fastq.gz","SRR35496357","SRX30572618","SAMN51585581","SRS26602059","PRJNA1330757","SRP621882","SRA2225931","GSM9246657_r1","GSM9246657_r1","GSM9246657","GSE308488","PAIRED","other","TRANSCRIPTOMIC","RIP-Seq","GSM9246657","Illumina NovaSeq 6000","ILLUMINA","11810935516","39109058","10090","Mus musculus","MEF, HSV-1, IgG-input, 1 [B261790]","Illumina NovaSeq 6000 sequencing: GSM9246657: MEF, HSV-1, IgG-input, 1 [B261790] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, HSV-1, IgG-input, 1 [B261790]","118aca23b3fe11f3fc8f8b8e7df5e6e8;8ea7666077e57e43fa73d0090bc62791","2650461608;2738379550","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/057/SRR35496357/SRR35496357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/057/SRR35496357/SRR35496357_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/057/SRR35496357/SRR35496357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/057/SRR35496357/SRR35496357_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/057/SRR35496357/SRR35496357_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/057/SRR35496357/SRR35496357_2.fastq.gz"
"SRX30572618","results/fastq/SRX30572618_SRR35496358_1.fastq.gz","results/fastq/SRX30572618_SRR35496358_2.fastq.gz","SRR35496358","SRX30572618","SAMN51585581","SRS26602059","PRJNA1330757","SRP621882","SRA2225931","GSM9246657_r2","GSM9246657_r1","GSM9246657","GSE308488","PAIRED","other","TRANSCRIPTOMIC","RIP-Seq","GSM9246657","Illumina NovaSeq 6000","ILLUMINA","10919945822","36158761","10090","Mus musculus","MEF, HSV-1, IgG-input, 1 [B261790]","Illumina NovaSeq 6000 sequencing: GSM9246657: MEF, HSV-1, IgG-input, 1 [B261790] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, HSV-1, IgG-input, 1 [B261790]","f1d1b3582d59f2c8c6fa16d11b6b0412;24d6dc123c7bd8b0303c50b68583f140","2457572561;2526936143","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/058/SRR35496358/SRR35496358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/058/SRR35496358/SRR35496358_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/058/SRR35496358/SRR35496358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/058/SRR35496358/SRR35496358_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/058/SRR35496358/SRR35496358_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/058/SRR35496358/SRR35496358_2.fastq.gz"
"SRX30572619","results/fastq/SRX30572619_SRR35496355_1.fastq.gz","results/fastq/SRX30572619_SRR35496355_2.fastq.gz","SRR35496355","SRX30572619","SAMN51585580","SRS26602061","PRJNA1330757","SRP621882","SRA2225931","GSM9246658_r1","GSM9246658_r1","GSM9246658","GSE308488","PAIRED","other","TRANSCRIPTOMIC","RIP-Seq","GSM9246658","Illumina NovaSeq 6000","ILLUMINA","13920526618","46094459","10090","Mus musculus","MEF, HSV-1, Z22-input, 1 [B261790]","Illumina NovaSeq 6000 sequencing: GSM9246658: MEF, HSV-1, Z22-input, 1 [B261790] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, HSV-1, Z22-input, 1 [B261790]","e975330fce0ba0b4100fd85302f7c027;323f92693deb62f18693c4db38d124de","3115065436;3154551501","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/055/SRR35496355/SRR35496355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/055/SRR35496355/SRR35496355_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/055/SRR35496355/SRR35496355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/055/SRR35496355/SRR35496355_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/055/SRR35496355/SRR35496355_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/055/SRR35496355/SRR35496355_2.fastq.gz"
"SRX30572619","results/fastq/SRX30572619_SRR35496356_1.fastq.gz","results/fastq/SRX30572619_SRR35496356_2.fastq.gz","SRR35496356","SRX30572619","SAMN51585580","SRS26602061","PRJNA1330757","SRP621882","SRA2225931","GSM9246658_r2","GSM9246658_r1","GSM9246658","GSE308488","PAIRED","other","TRANSCRIPTOMIC","RIP-Seq","GSM9246658","Illumina NovaSeq 6000","ILLUMINA","12886505194","42670547","10090","Mus musculus","MEF, HSV-1, Z22-input, 1 [B261790]","Illumina NovaSeq 6000 sequencing: GSM9246658: MEF, HSV-1, Z22-input, 1 [B261790] Mus musculus RIP-Seq","Host cell Z-RNAs activate ZBP1 during virus infections [MEF]","MEF, HSV-1, Z22-input, 1 [B261790]","d3e1d36583e5366425f164de2c205aa3;8569fc284582362adca30f6973fcddb9","2890260622;2915028892","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/056/SRR35496356/SRR35496356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/056/SRR35496356/SRR35496356_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/056/SRR35496356/SRR35496356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR354/056/SRR35496356/SRR35496356_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/056/SRR35496356/SRR35496356_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR354/056/SRR35496356/SRR35496356_2.fastq.gz"
