"sample","fastq_1","fastq_2","run_accession","experiment_accession","sample_accession","secondary_sample_accession","study_accession","secondary_study_accession","submission_accession","run_alias","experiment_alias","sample_alias","study_alias","library_layout","library_selection","library_source","library_strategy","library_name","instrument_model","instrument_platform","base_count","read_count","tax_id","scientific_name","sample_title","experiment_title","study_title","sample_description","fastq_md5","fastq_bytes","fastq_ftp","fastq_galaxy","fastq_aspera"
"ERX12477974","results/fastq/ERX12477974_ERR13106334_1.fastq.gz","results/fastq/ERX12477974_ERR13106334_2.fastq.gz","ERR13106334","ERX12477974","SAMEA115610018","ERS19887598","PRJEB75711","ERP160273","ERA30346317","ena-RUN-TAB-16-05-2024-08:53:18:105-154052","ena-EXPERIMENT-TAB-16-05-2024-08:53:18:105-154051","16hpi_dNS1_cytosol_1","91efd3b5-2ec0-4aac-9e82-121c1db5151e","PAIRED","Inverse rRNA selection","TRANSCRIPTOMIC","RNA-Seq","16hpi_dNS1_cytosol_1","Illumina NovaSeq 6000","ILLUMINA","15549956444","102979844","9606","Homo sapiens","16hpi_dNS1_cytosol_1","Illumina NovaSeq 6000 sequencing","Influenza A virus NS1 and cellular dsRNA","16hpi_dNS1_cytosol_1","52ed576135fdd557fc70352ef1146322;9fa328f01d8d8a6cd82e936c53e4c594","3079902342;3132637815","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/034/ERR13106334/ERR13106334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/034/ERR13106334/ERR13106334_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/034/ERR13106334/ERR13106334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/034/ERR13106334/ERR13106334_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/034/ERR13106334/ERR13106334_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/034/ERR13106334/ERR13106334_2.fastq.gz"
"ERX12477975","results/fastq/ERX12477975_ERR13106335_1.fastq.gz","results/fastq/ERX12477975_ERR13106335_2.fastq.gz","ERR13106335","ERX12477975","SAMEA115610019","ERS19887599","PRJEB75711","ERP160273","ERA30346317","ena-RUN-TAB-16-05-2024-08:53:18:106-154054","ena-EXPERIMENT-TAB-16-05-2024-08:53:18:106-154053","16hpi_dNS1_cytosol_2","91efd3b5-2ec0-4aac-9e82-121c1db5151e","PAIRED","Inverse rRNA selection","TRANSCRIPTOMIC","RNA-Seq","16hpi_dNS1_cytosol_2","Illumina NovaSeq 6000","ILLUMINA","12230104570","80994070","9606","Homo sapiens","16hpi_dNS1_cytosol_2","Illumina NovaSeq 6000 sequencing","Influenza A virus NS1 and cellular dsRNA","16hpi_dNS1_cytosol_2","a365685b565e2f0a8584fd486a0b5e2c;096fcd37b578ed8722dd24ee34418059","2439413428;2451639522","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/035/ERR13106335/ERR13106335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/035/ERR13106335/ERR13106335_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/035/ERR13106335/ERR13106335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/035/ERR13106335/ERR13106335_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/035/ERR13106335/ERR13106335_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/035/ERR13106335/ERR13106335_2.fastq.gz"
"ERX12477976","results/fastq/ERX12477976_ERR13106336_1.fastq.gz","results/fastq/ERX12477976_ERR13106336_2.fastq.gz","ERR13106336","ERX12477976","SAMEA115610020","ERS19887600","PRJEB75711","ERP160273","ERA30346317","ena-RUN-TAB-16-05-2024-08:53:18:107-154056","ena-EXPERIMENT-TAB-16-05-2024-08:53:18:106-154055","16hpi_dNS1_cytosol_3","91efd3b5-2ec0-4aac-9e82-121c1db5151e","PAIRED","Inverse rRNA selection","TRANSCRIPTOMIC","RNA-Seq","16hpi_dNS1_cytosol_3","Illumina NovaSeq 6000","ILLUMINA","16808496748","111314548","9606","Homo sapiens","16hpi_dNS1_cytosol_3","Illumina NovaSeq 6000 sequencing","Influenza A virus NS1 and cellular dsRNA","16hpi_dNS1_cytosol_3","57f37219ed23c9a4e5e77d3f97b5466d;97a1e544c5472e7449b3f749f2fdccf6","3418312647;3401170925","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/036/ERR13106336/ERR13106336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/036/ERR13106336/ERR13106336_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/036/ERR13106336/ERR13106336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/036/ERR13106336/ERR13106336_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/036/ERR13106336/ERR13106336_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/036/ERR13106336/ERR13106336_2.fastq.gz"
"ERX12477977","results/fastq/ERX12477977_ERR13106337_1.fastq.gz","results/fastq/ERX12477977_ERR13106337_2.fastq.gz","ERR13106337","ERX12477977","SAMEA115610021","ERS19887601","PRJEB75711","ERP160273","ERA30346317","ena-RUN-TAB-16-05-2024-08:53:18:107-154058","ena-EXPERIMENT-TAB-16-05-2024-08:53:18:107-154057","16hpi_dNS1_nucleus_1","91efd3b5-2ec0-4aac-9e82-121c1db5151e","PAIRED","Inverse rRNA selection","TRANSCRIPTOMIC","RNA-Seq","16hpi_dNS1_nucleus_1","Illumina NovaSeq 6000","ILLUMINA","13194155614","87378514","9606","Homo sapiens","16hpi_dNS1_nucleus_1","Illumina NovaSeq 6000 sequencing","Influenza A virus NS1 and cellular dsRNA","16hpi_dNS1_nucleus_1","b9ee0781aceddabee9550443fc67f3cd;d87be42c72b693c28baa0df764518206","2829135526;2866569050","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/037/ERR13106337/ERR13106337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/037/ERR13106337/ERR13106337_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/037/ERR13106337/ERR13106337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/037/ERR13106337/ERR13106337_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/037/ERR13106337/ERR13106337_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/037/ERR13106337/ERR13106337_2.fastq.gz"
"ERX12477978","results/fastq/ERX12477978_ERR13106338_1.fastq.gz","results/fastq/ERX12477978_ERR13106338_2.fastq.gz","ERR13106338","ERX12477978","SAMEA115610022","ERS19887602","PRJEB75711","ERP160273","ERA30346317","ena-RUN-TAB-16-05-2024-08:53:18:108-154060","ena-EXPERIMENT-TAB-16-05-2024-08:53:18:108-154059","16hpi_dNS1_nucleus_2","91efd3b5-2ec0-4aac-9e82-121c1db5151e","PAIRED","Inverse rRNA selection","TRANSCRIPTOMIC","RNA-Seq","16hpi_dNS1_nucleus_2","Illumina NovaSeq 6000","ILLUMINA","15836898724","104880124","9606","Homo sapiens","16hpi_dNS1_nucleus_2","Illumina NovaSeq 6000 sequencing","Influenza A virus NS1 and cellular dsRNA","16hpi_dNS1_nucleus_2","139f0c7657b9275105f0893ee2b0abd0;84fcaf7423e6dfe07c172cae8f74dbd2","3395124368;3430866824","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/038/ERR13106338/ERR13106338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/038/ERR13106338/ERR13106338_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/038/ERR13106338/ERR13106338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/038/ERR13106338/ERR13106338_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/038/ERR13106338/ERR13106338_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/038/ERR13106338/ERR13106338_2.fastq.gz"
"ERX12477979","results/fastq/ERX12477979_ERR13106339_1.fastq.gz","results/fastq/ERX12477979_ERR13106339_2.fastq.gz","ERR13106339","ERX12477979","SAMEA115610023","ERS19887603","PRJEB75711","ERP160273","ERA30346317","ena-RUN-TAB-16-05-2024-08:53:18:109-154062","ena-EXPERIMENT-TAB-16-05-2024-08:53:18:108-154061","16hpi_dNS1_nucleus_3","91efd3b5-2ec0-4aac-9e82-121c1db5151e","PAIRED","Inverse rRNA selection","TRANSCRIPTOMIC","RNA-Seq","16hpi_dNS1_nucleus_3","Illumina NovaSeq 6000","ILLUMINA","14675694228","97190028","9606","Homo sapiens","16hpi_dNS1_nucleus_3","Illumina NovaSeq 6000 sequencing","Influenza A virus NS1 and cellular dsRNA","16hpi_dNS1_nucleus_3","72b9db568a6b6ed3320d1b7aebd5dfb2;4af716c42c69435fc08f1e20c5da411b","3190077774;3223267815","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/039/ERR13106339/ERR13106339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/039/ERR13106339/ERR13106339_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/039/ERR13106339/ERR13106339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/039/ERR13106339/ERR13106339_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/039/ERR13106339/ERR13106339_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/039/ERR13106339/ERR13106339_2.fastq.gz"
"ERX12477980","results/fastq/ERX12477980_ERR13106340_1.fastq.gz","results/fastq/ERX12477980_ERR13106340_2.fastq.gz","ERR13106340","ERX12477980","SAMEA115610024","ERS19887604","PRJEB75711","ERP160273","ERA30346317","ena-RUN-TAB-16-05-2024-08:53:18:109-154064","ena-EXPERIMENT-TAB-16-05-2024-08:53:18:109-154063","16hpi_IAV_cytosol_1","91efd3b5-2ec0-4aac-9e82-121c1db5151e","PAIRED","Inverse rRNA selection","TRANSCRIPTOMIC","RNA-Seq","16hpi_IAV_cytosol_1","Illumina NovaSeq 6000","ILLUMINA","12047197666","79782766","9606","Homo sapiens","16hpi_IAV_cytosol_1","Illumina NovaSeq 6000 sequencing","Influenza A virus NS1 and cellular dsRNA","16hpi_IAV_cytosol_1","a216cec9972dafee1afd4e723dc310a2;52f47d38bceb577380f86c3ed63d5250","2154025380;2180957217","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/040/ERR13106340/ERR13106340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/040/ERR13106340/ERR13106340_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/040/ERR13106340/ERR13106340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/040/ERR13106340/ERR13106340_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/040/ERR13106340/ERR13106340_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/040/ERR13106340/ERR13106340_2.fastq.gz"
"ERX12477981","results/fastq/ERX12477981_ERR13106341_1.fastq.gz","results/fastq/ERX12477981_ERR13106341_2.fastq.gz","ERR13106341","ERX12477981","SAMEA115610025","ERS19887605","PRJEB75711","ERP160273","ERA30346317","ena-RUN-TAB-16-05-2024-08:53:18:110-154066","ena-EXPERIMENT-TAB-16-05-2024-08:53:18:110-154065","16hpi_IAV_cytosol_2","91efd3b5-2ec0-4aac-9e82-121c1db5151e","PAIRED","Inverse rRNA selection","TRANSCRIPTOMIC","RNA-Seq","16hpi_IAV_cytosol_2","Illumina NovaSeq 6000","ILLUMINA","11795042464","78112864","9606","Homo sapiens","16hpi_IAV_cytosol_2","Illumina NovaSeq 6000 sequencing","Influenza A virus NS1 and cellular dsRNA","16hpi_IAV_cytosol_2","451adb62dfe78b55256e3aedb7a95017;bdc1cb29a65284ab765ca6e3af97da75","2084719098;2050118187","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/041/ERR13106341/ERR13106341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/041/ERR13106341/ERR13106341_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/041/ERR13106341/ERR13106341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/041/ERR13106341/ERR13106341_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/041/ERR13106341/ERR13106341_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/041/ERR13106341/ERR13106341_2.fastq.gz"
"ERX12477982","results/fastq/ERX12477982_ERR13106342_1.fastq.gz","results/fastq/ERX12477982_ERR13106342_2.fastq.gz","ERR13106342","ERX12477982","SAMEA115610026","ERS19887606","PRJEB75711","ERP160273","ERA30346317","ena-RUN-TAB-16-05-2024-08:53:18:111-154068","ena-EXPERIMENT-TAB-16-05-2024-08:53:18:111-154067","16hpi_IAV_cytosol_3","91efd3b5-2ec0-4aac-9e82-121c1db5151e","PAIRED","Inverse rRNA selection","TRANSCRIPTOMIC","RNA-Seq","16hpi_IAV_cytosol_3","Illumina NovaSeq 6000","ILLUMINA","13669603576","90527176","9606","Homo sapiens","16hpi_IAV_cytosol_3","Illumina NovaSeq 6000 sequencing","Influenza A virus NS1 and cellular dsRNA","16hpi_IAV_cytosol_3","a0b4ae14539a6e83b5cf4a88a3b0ba3f;604bdb1e060019ad8a72eb021db96def","2496548383;2466554947","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/042/ERR13106342/ERR13106342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/042/ERR13106342/ERR13106342_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/042/ERR13106342/ERR13106342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/042/ERR13106342/ERR13106342_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/042/ERR13106342/ERR13106342_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/042/ERR13106342/ERR13106342_2.fastq.gz"
"ERX12477983","results/fastq/ERX12477983_ERR13106343_1.fastq.gz","results/fastq/ERX12477983_ERR13106343_2.fastq.gz","ERR13106343","ERX12477983","SAMEA115610027","ERS19887607","PRJEB75711","ERP160273","ERA30346317","ena-RUN-TAB-16-05-2024-08:53:18:112-154070","ena-EXPERIMENT-TAB-16-05-2024-08:53:18:111-154069","16hpi_IAV_nucleus_1","91efd3b5-2ec0-4aac-9e82-121c1db5151e","PAIRED","Inverse rRNA selection","TRANSCRIPTOMIC","RNA-Seq","16hpi_IAV_nucleus_1","Illumina NovaSeq 6000","ILLUMINA","13154511168","87115968","9606","Homo sapiens","16hpi_IAV_nucleus_1","Illumina NovaSeq 6000 sequencing","Influenza A virus NS1 and cellular dsRNA","16hpi_IAV_nucleus_1","25b3a9c657f8db3c815a1b16b4c66ed3;24adfaee1b31a184962e72d3de03dedf","2726256280;2677739497","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/043/ERR13106343/ERR13106343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/043/ERR13106343/ERR13106343_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/043/ERR13106343/ERR13106343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/043/ERR13106343/ERR13106343_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/043/ERR13106343/ERR13106343_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR131/043/ERR13106343/ERR13106343_2.fastq.gz"
