Name,ID,Gene,Cluster,Location,Strand,TiSS,TTS,Length,Exons,(i) dRNA.seq,(ii) cRNA.seq.peak,(iii) cRNA.seq.density,(iv) cRNA.seq.kinetic,(v) MinION,(vi) PacBio,(vii) Kinetic.4sU,(viii) Coverage.4sU,(ix) Orphan,Num.Criteria,Justification
TRL1 RNA (spliced),TRL1_RNA,TRL1,TRL1-TRL2,JN555585+:408-2318|3083-3750|3886-5717,+,408,5716,4408,3,1,1,0,0,1,0,0,1,1,5,
TRL1.5 RNA (spliced),TRL1.5_RNA,TRL1.5,TRL1-TRL2,JN555585+:1750-2318|3083-3750|3886-5717,+,1750,5716,3066,3,1,1,0,0,0,0,1,1,1,5,
TRL2 RNA iso1 (with retained intron 1),TRL2_RNA_iso1,TRL2,TRL1-TRL2,JN555585+:2117-3750|3886-5717,+,2117,5716,3464,2,1,1,0,0,1,1,1,1,1,7,
TRL2 RNA (spliced),TRL2_RNA,TRL2,TRL1-TRL2,JN555585+:2117-2318|3083-3750|3886-5717,+,2117,5716,2699,3,1,1,0,0,1,1,1,1,1,7,
"TRL2 RNA iso2 (NAGNAG, spliced)",TRL2_RNA_iso2,TRL2,TRL1-TRL2,JN555585+:2117-2318|3083-3750|3889-5717,+,2117,5716,2696,3,1,1,0,0,1,1,1,1,1,7,
TRL3 RNA (orphan),TRL3_RNA,TRL3,TRL3-UL3,JN555585+:8447-10970,+,8447,10969,2523,1,1,0,0,0,0,0,0,1,0,2,
UL1 RNA,UL1_RNA,UL1,TRL3-UL3,JN555585+:9245-10970,+,9245,10969,1725,1,1,1,1,0,1,1,1,1,1,8,
UL2 RNA,UL2_RNA,UL2,TRL3-UL3,JN555585+:9739-10970,+,9739,10969,1231,1,1,1,1,1,1,1,1,0,1,8,
UL3 RNA *1 (PacBio; read-through transcript),UL3_RNA_*1,UL3,TRL3-UL3,JN555585+:10736-11737,+,10736,11736,1001,1,0,0,0,0,0,1,0,0,1,2,
UL3 RNA,UL3_RNA,UL3,TRL3-UL3,JN555585+:10974-11737,+,10974,11736,763,1,1,0,0,0,1,1,0,1,1,5,
UL3 RNA #1 (orphan),UL3_RNA_#1,UL3,TRL3-UL3,JN555585+:11543-11737,+,11543,11736,194,1,1,0,0,0,0,0,0,0,0,1,Peak in both dRNA-seq replicates. Accumulation of reads within +/-5 nt of the TiSS in both cRNA-seq replicates.
UL4.5 RNA *1,UL4.5_RNA_*1,UL4.5,UL4.5-UL7,JN555585+:11784-18070,+,11784,18069,6286,1,1,0,0,0,0,0,0,0,0,1,Strong peak in both dRNA-seq replicates as well as in one of the two cRNA-seq replicates. Increase in downstream read-coverage in both cRNA-seq replicates.
UL4.5 RNA (spliced),UL4.5_RNA,UL4.5,UL4.5-UL7,JN555585+:12210-12429|12972-18070,+,12210,18069,5317,2,1,0,0,0,0,0,0,0,1,2,
UL4.5 RNA iso1 (with retained intron),UL4.5_RNA_iso1,UL4.5,UL4.5-UL7,JN555585+:12210-18070,+,12210,18069,5860,1,1,0,0,0,0,0,0,0,1,2,
UL5.5 RNA,UL5.5_RNA,UL5.5,UL4.5-UL7,JN555585+:13390-18070,+,13390,18069,4680,1,1,0,0,0,0,0,0,0,1,2,
UL5.5 RNA #1,UL5.5_RNA_#1,UL5.5,UL4.5-UL7,JN555585+:13508-18070,+,13508,18069,4562,1,1,0,0,0,0,0,1,0,1,3,
UL5.6 RNA,UL5.6_RNA,UL5.6,UL4.5-UL7,JN555585+:14012-18070,+,14012,18069,4058,1,0,1,0,0,0,0,0,0,1,2,
UL5.7 RNA,UL5.7_RNA,UL5.7,UL4.5-UL7,JN555585+:14576-18070,+,14576,18069,3494,1,0,0,0,0,0,0,0,0,1,1,Strong peak in both dRNA-seq replicates. Required for expression of UL5.7 ORF.
UL6 RNA *2,UL6_RNA_*2,UL6,UL4.5-UL7,JN555585+:14929-18070,+,14929,18069,3141,1,1,0,0,0,1,0,1,0,0,3,
UL6 RNA *1,UL6_RNA_*1,UL6,UL4.5-UL7,JN555585+:15013-18070,+,15013,18069,3057,1,0,0,0,0,1,0,0,0,1,2,
UL6 RNA,UL6_RNA,UL6,UL4.5-UL7,JN555585+:15051-18070,+,15051,18069,3019,1,1,1,0,0,1,0,0,0,1,4,
UL6 RNA #1 (encodes UL6 iORF),UL6_RNA_#1,UL6,UL4.5-UL7,JN555585+:15747-18070,+,15747,18069,2323,1,0,0,0,0,0,0,0,0,1,1,Strong peak in both dRNA-seq replicates. Required for expression of UL6 iORF.
UL6 RNA #2 (encodes UL6 iORF),UL6_RNA_#2,UL6,UL4.5-UL7,JN555585+:15850-18070,+,15850,18069,2220,1,0,0,0,0,1,0,0,0,1,2,
UL7 RNA *1 (PacBio only; orphan),UL7_RNA_*1,UL7,UL4.5-UL7,JN555585+:16433-18070,+,16433,18069,1637,1,0,0,0,0,0,1,0,0,0,1,Multiple PacBio reads starting at the same position accompanied by a weak increase in read densities in the 4sU-seq data.
UL7 RNA,UL7_RNA,UL7,UL4.5-UL7,JN555585+:16956-18070,+,16956,18069,1114,1,1,1,1,0,1,1,1,1,1,8,
UL7.5 RNA,UL7.5_RNA,UL7.5,UL7.5-UL10,JN555585+:18401-24668,+,18401,24667,6267,1,0,0,0,0,0,0,0,0,1,1,Weak peak in both cRNA-samples. Required for expression of UL7.5 uORF and UL7.5 ORF
UL8.4 RNA,UL8.4_RNA,UL8.4,UL7.5-UL10,JN555585+:20437-24668,+,20437,24667,4231,1,0,0,0,0,0,0,1,1,0,2,
UL10 RNA,UL10_RNA,UL10,UL7.5-UL10,JN555585+:22943-24668,+,22943,24667,1725,1,1,1,1,0,0,1,1,1,1,7,
UL10 RNA #1,UL10_RNA_#1,UL10,UL7.5-UL10,JN555585+:23029-24668,+,23029,24667,1639,1,1,1,0,1,1,1,1,0,0,6,
UL13.5 RNA,UL13.5_RNA,UL13.5,UL13.5-UL15,JN555585+:27043-34850,+,27043,34849,7807,1,1,0,0,0,0,0,0,0,0,1,Strong peak in one cRNA-seq replicate and weak peak in the other cRNA-seq and both dRNA-seq replicates. Required for expression of UL13.5 ORF.
UL15 RNA iso1 (with retained intron 1),UL15_RNA_iso1,UL15,UL13.5-UL15,JN555585+:28801-34850,+,28801,34849,6049,1,1,0,1,0,1,1,1,0,1,6,
UL15 RNA (spliced),UL15_RNA,UL15,UL13.5-UL15,JN555585+:28801-30049|33635-34850,+,28801,34849,2463,2,1,0,1,0,1,1,1,0,1,6,
UL19.5 RNA,UL19.5_RNA,UL19.5,UL19.5-UL21,JN555585+:39645-43713,+,39645,43712,4068,1,1,0,0,0,0,0,0,0,0,1,Strong peak in both dRNA-seq replicates. Required for expression of UL19.5 sORF.
