Ensembl ID	Gene name	seqid	intervals	strand	location
ENSMUSG00000067851	Arfgef1	chr1	10303889-10477008	+	Antisense RNA
ENSMUSG00000042501	Cpa6	chr1	10789930-10876329	+	Antisense RNA
ENSMUSG00000026342	Slc35f5	chr1	125427120-125488751	-	Antisense RNA
ENSMUSG00000042772	Smg7	chr1	152777621-152826524	+	Divergent transcript
ENSMUSG00000042699	Dhx9	chr1	153363388-153420027	+	Antisense RNA
ENSMUSG00000053332	Gas5	chr1	160878504-160881115	+	Elongated 3` end
ENSMUSG00000040836	Gpr161	chr1	165114779-165116573	+	Intron
		chr1	170890589-170913915	-	tRNA-cluster
		chr1	170890589-170913915	+	tRNA-cluster
ENSMUSG00000013973	Dedd	chr1	171124152-171157520	-	Antisense RNA
ENSMUSG00000026502	Desi2	chr1	177943755-178015626	-	Divergent transcript
		chr1	194589675-194607256	-	De novo intergenic
		chr1	194589675-194607256	+	De novo intergenic
		chr1	44298758-44396498	-	Elongated 3` end
		chr1	44833889-44903536	-	Unannotated RNA
ENSMUSG00000025995	Wdr75	chr1	45607241-45834632	-	Antisense RNA
ENSMUSG00000038349	Plcl1	chr1	55395673-55445592	-	Antisense RNA
ENSMUSG00000026029	Casp8	chr1	58887431-58938951	+	Elongated 3` end
ENSMUSG00000025907	Rb1cc1	chr1	6219810-6283553	-	Antisense RNA
ENSMUSG00000040865	Ino80d	chr1	63153635-63197332	+	Divergent transcript
ENSMUSG00000025958	Creb1	chr1	64462711-64572150	-	Antisense RNA
ENSMUSG00000046330	Rpl37a	chr1	72758093-72758557	+	Elongated 3` end
ENSMUSG00000026159	Agfg1	chr1	82923370-82934357	+	Elongated 3` end
ENSMUSG00000026238	Ptma	chr1	86367800-86453900	-	Divergent transcript
ENSMUSG00000026238	Ptma	chr1	86465521-86465844	+	Elongated 3` end
ENSMUSG00000100009	Gm7967	chr1	98537449-98581554	+	Elongated 3` end
		chr10	111944736-111959421	-	Unannotated RNA
ENSMUSG00000074748	Atxn7l3b	chr10	112728432-112761198	-	Elongated 3` end
ENSMUSG00000025436	Atp23	chr10	126737015-126742022	-	5`UTR
ENSMUSG00000078429	Ctdsp2	chr10	126743212-126814231	-	Antisense RNA
ENSMUSG00000040249	Lrp1	chr10	127455748-127482197	+	Divergent transcript
ENSMUSG00000061315	Naca	chr10	127832557-127869648	-	Divergent transcript
ENSMUSG00000093674	Rpl41	chr10	128385450-128393820	+	Divergent transcript
ENSMUSG00000019850	Tnfaip3	chr10	18890083-19006446	+	Divergent transcript
ENSMUSG00000019977	Hbs1l	chr10	21106362-21171961	-	Divergent transcript
ENSMUSG00000071359	Tbpl1	chr10	22607241-22685180	+	Divergent transcript
ENSMUSG00000019997	Ccn2	chr10	24290501-24470781	-	Divergent transcript
ENSMUSG00000019889	Ptprk	chr10	27600839-27953024	-	Divergent transcript
		chr10	3167479-3177458	+	De novo intergenic
ENSMUSG00000038240	Pdss2	chr10	43132286-43134915	-	Antisense RNA
ENSMUSG00000075327	Zbtb2	chr10	4338160-4375399	+	Antisense RNA
		chr10	47349207-47370714	+	Unclear intergenic
ENSMUSG00000003746	Man1a	chr10	53952910-54064781	+	Antisense RNA
ENSMUSG00000038122	Tbc1d32	chr10	56105138-56158961	+	Antisense RNA
ENSMUSG00000019878	Hsf2	chr10	57298020-57362723	-	Antisense RNA
ENSMUSG00000019877	Serinc1	chr10	57413732-57499491	+	Antisense RNA
ENSMUSG00000038039	Gcc2	chr10	58077583-58091558	-	Antisense RNA
ENSMUSG00000019795	Pcmt1	chr10	7455347-7501464	-	Elongated 3` end
ENSMUSG00000020260	Pofut2	chr10	77039663-77094932	-	Antisense RNA
ENSMUSG00000009293	Ube2g2	chr10	77453316-77457923	-	Antisense RNA
ENSMUSG00000006498	Ptbp1	chr10	79650806-79690276	-	Divergent transcript
ENSMUSG00000003070	Efna2	chr10	80048251-80052421	+	Elongated 3` end
ENSMUSG00000035242	Oaz1	chr10	80635649-80662208	-	Antisense RNA
	Gm1077	chr10	81810611-81833010	-	Antisense RNA
	Gm40720	chr10	82032046-82063548	+	Elongated 3` end
ENSMUSG00000034674	Tdg	chr10	82459788-82465739	-	Antisense RNA
ENSMUSG00000004356	Utp20	chr10	88662287-88710944	+	Divergent transcript
ENSMUSG00000019961	Tmpo	chr10	91007499-91019767	+	Divergent transcript
ENSMUSG00000048732	Klhl11	chr11	100340295-100340576	-	Elongated 3` end
ENSMUSG00000119892	Gm23971	chr11	101520474-101536234	-	Elongated 3` end
ENSMUSG00000118718	Gm24950	chr11	101533150-101539504	+	Elongated 3` end
ENSMUSG00000034936	Arl4d	chr11	101601168-101603292	+	Elongated 3` end
ENSMUSG00000034757	Tmub2	chr11	102192171-102193454	+	Elongated 3` end
ENSMUSG00000020691	Mettl2	chr11	104943735-105017526	-	Antisense RNA
ENSMUSG00000040481	Bptf	chr11	107021862-107056234	+	Antisense RNA
ENSMUSG00000018433	Nol11	chr11	107055093-107055733	-	Elongated 3` end
ENSMUSG00000085207	Gm11767	chr11	119817909-119818133	-	Elongated 3` end
ENSMUSG00000020176	Grb10	chr11	11986818-12219941	+	Antisense RNA
ENSMUSG00000033953	Ppp3r1	chr11	17048922-17109329	-	Antisense RNA
ENSMUSG00000049800	Sertad2	chr11	20395213-20493397	-	Divergent transcript
ENSMUSG00000042302	Ehbp1	chr11	22237144-22278663	+	Antisense RNA
ENSMUSG00000020290	Xpo1	chr11	23173943-23206145	-	Divergent transcript
	0610010F05Rik	chr11	23474814-23514802	-	Elongated 3` end
ENSMUSG00000020467	Efemp1	chr11	28664396-28803589	-	Divergent transcript
ENSMUSG00000020463	Ppp4r3b	chr11	28999066-29122945	-	Divergent transcript
ENSMUSG00000020464	Pnpt1	chr11	29113396-29113830;29116053-29116359	+	Elongated 3` end
ENSMUSG00000043999	Gpr75	chr11	30843923-30879443	+	Elongated 3` end
ENSMUSG00000020454	Eif4enif1	chr11	3143654-3152353	-	Divergent transcript
ENSMUSG00000020457	Drg1	chr11	3215940-3228156	+	Divergent transcript
ENSMUSG00000034354	Mtmr3	chr11	4419008-4422866	-	Elongated 3` end
ENSMUSG00000020366	Mapk9	chr11	49743218-49750640	-	Antisense RNA
ENSMUSG00000020361	Hspa4	chr11	53191157-53215092	+	Antisense RNA
ENSMUSG00000019505	Ubb	chr11	62444126-62465282	+	Elongated 3` end
ENSMUSG00000094483	Purb	chr11	6426074-6465041	+	Divergent transcript
ENSMUSG00000094483	Purb	chr11	6426120-6462619	+	Antisense RNA
ENSMUSG00000018476	Kdm6b	chr11	69318269-69319283;69319917-69320489	+	Antisense RNA
ENSMUSG00000093989	Rnasek	chr11	70130319-70201319	+	Divergent transcript
ENSMUSG00000020827	Mink1	chr11	70446232-70453783	-	Antisense RNA
ENSMUSG00000018287	Spag7	chr11	70559869-70591033	+	Divergent transcript
ENSMUSG00000010554	Mettl16	chr11	74615085-74661794	-	Divergent transcript
ENSMUSG00000020745	Pafah1b1	chr11	74615085-74661794	+	Divergent transcript
ENSMUSG00000085148	Mir22hg	chr11	75347511-75348895	-	Antisense RNA
ENSMUSG00000017548	Suz12	chr11	79854287-79884302	-	Antisense RNA
ENSMUSG00000018651	Tada2a	chr11	84021561-84063761	+	Divergent transcript
ENSMUSG00000018481	Appbp2	chr11	85125888-85196888	+	Divergent transcript
ENSMUSG00000018379	Srsf1	chr11	87893506-87939364	-	Antisense RNA
ENSMUSG00000018428	Akap1	chr11	88755665-88788717	+	Antisense RNA
ENSMUSG00000038909	Kat7	chr11	95200816-95227361	+	Divergent transcript
ENSMUSG00000038437	Mllt6	chr11	97535050-97551172	-	Divergent transcript
ENSMUSG00000021264	Yy1	chr12	108728980-108760189	-	Antisense RNA
ENSMUSG00000113581	Dio3os	chr12	110236440-110236721	-	Elongated 3` end
